species,Longitude,Latitude
Aciotis_indecora,-79,9.2
Aciotis_indecora,-78.966667,9.266667
Aciotis_indecora,-78.25,9.316667
Aciotis_indecora,-79.77694,9.34027
Aciotis_indecora,-79.72,9.37
Aciotis_indecora,-79.4,9.4
Aciotis_indecora,-84.219104,10.700795
Aciotis_indecora,-84.168611,10.748333
Aciotis_indecora,-83.883333,10.75
Aciotis_indecora,-84.083333,11
Aciotis_indecora,-83.75,12
Aciotis_indecora,-88.69816,15.41066
Aciotis_indecora,-89.21,15.415
Aciotis_indecora,-90.92,16.12
Aciotis_indecora,-88.96666,16.16666
Aciotis_indecora,-88.783333,16.4
Aciotis_olivieriana,-79.95,-4.083333
Aciotis_ornata,-53.116667,0.4
Aciotis_ornata,-59.238056,1.5825
Aciotis_ornata,-52.366667,4.3
Aciotis_ornata,-76.92,4.7
Aciotis_ornata,-76.22028,4.83764
Aciotis_ornata,-76.68,5.17
Aciotis_ornata,-75.05481,5.52247
Aciotis_ornata,-76.466667,5.733333
Aciotis_ornata,-74.866667,6.216667
Aciotis_ornata,-75.05,7.22
Aciotis_ornata,-75.07,7.3
Aciotis_paludosa,-40.947308,-20.682908
Aciotis_paludosa,-40.53886,-19.80578
Aciotis_polystachya,-69.33,-12.83
Aciotis_polystachya,-73.75,-7.6
Aciotis_polystachya,-73.25,-3.733333
Aciotis_polystachya,-72.9,-3.25
Aciotis_polystachya,-77.91666,-1.66666
Aciotis_polystachya,-78,-1.41666
Aciotis_polystachya,-56.941621,-1.206781
Aciotis_polystachya,-76.87,-0.83
Aciotis_polystachya,-65.92,-0.25
Aciotis_polystachya,-79.03,0.08
Aciotis_polystachya,-70.23,1.23
Aciotis_polystachya,-75.905833,1.682778
Aciotis_polystachya,-76.87653,3.57353
Aciotis_polystachya,-65.52,6.75
Aciotis_polystachya,-71.47,7.68
Aciotis_polystachya,-77.13,40.05
Aciotis_purpurascens,-60.7,-14.616667
Aciotis_purpurascens,-64.95,-9.633333
Aciotis_purpurascens,-74.908,-9.592
Aciotis_purpurascens,-75,-9.3
Aciotis_purpurascens,-76.53,-8.17
Aciotis_purpurascens,-72.823333,-7.501389
Aciotis_purpurascens,-70.25,-7.5
Aciotis_purpurascens,-66.783333,-6.716667
Aciotis_purpurascens,-73.9086,-6.2636
Aciotis_purpurascens,-73.833333,-5.083333
Aciotis_purpurascens,-78.5,-4.5
Aciotis_purpurascens,-78.156389,-4.466667
Aciotis_purpurascens,-78.67,-4.32
Aciotis_purpurascens,-73.5,-4.17
Aciotis_purpurascens,-73.583333,-3.916667
Aciotis_purpurascens,-73.321915,-3.829112
Aciotis_purpurascens,-73.25,-3.75
Aciotis_purpurascens,-73.25,-3.683333
Aciotis_purpurascens,-73.5,-3.666667
Aciotis_purpurascens,-65,-3.483333
Aciotis_purpurascens,-59.97,-2.88
Aciotis_purpurascens,-50.733333,-2.691667
Aciotis_purpurascens,-78,-2.67
Aciotis_purpurascens,-75.7,-2.55
Aciotis_purpurascens,-59.904816,-2.434182
Aciotis_purpurascens,-59.7278,-2.4072
Aciotis_purpurascens,-77.5,-2.383333
Aciotis_purpurascens,-75.97,-1.63
Aciotis_purpurascens,-78.3,-1.35
Aciotis_purpurascens,-74.73,-1.17
Aciotis_purpurascens,-77.6,-1.06666
Aciotis_purpurascens,-77.766667,-0.733333
Aciotis_purpurascens,-76.42,-0.68
Aciotis_purpurascens,-70.67,-0.5
Aciotis_purpurascens,-65,-0.5
Aciotis_purpurascens,-70.5,-0.08
Aciotis_purpurascens,-77.33,0.17
